,"U (alpha=1.8, T=1.8e+1)","U (alpha=0.2, T=6.0e-3)","U (alpha=0.2, T=2.0e-3)","U (alpha=0.2, T=6.0e-4)"
0.0,3.5927692513040075,0.0011537895681487458,0.0009360256162269482,0.0008216341062564984
0.015625,3.5033681906545597,0.0010271195139001524,0.0008646695829117143,0.0007880786291102224
0.03125,3.4336722977941214,0.00093742359895127,0.0008055935801404314,0.0007580749055581136
0.046875,3.381344240361256,0.0008755043226296401,0.0007565687459802708,0.000731239778544428
0.0625,3.344124428482165,0.0008358123100816675,0.0007159305308062459,0.0007071951477154681
0.078125,3.319943240090381,0.0008145374902150062,0.000682373667210245,0.0006856336481203499
0.09375,3.306995059748797,0.0008093388397279055,0.0006548344578319164,0.0006663155993816324
0.109375,3.303601447339398,0.0008186460035000946,0.00063245105357972,0.0006489935329295821
0.125,3.308400602811679,0.0008415166881663306,0.0006145172316847023,0.0006334837876766344
0.140625,3.320140419964716,0.00087753832443724,0.0006004233256930271,0.0006196217633585587
0.15625,3.337674372586508,0.0009264551414522065,0.0005897270251237044,0.0006072520138470966
0.171875,3.3599424995054106,0.0009887146987182425,0.0005819572601077289,0.0005962390214944579
0.1875,3.386095738625952,0.001064466556751335,0.0005767249574887207,0.0005864516943126333
0.203125,3.4153709628087436,0.0011536350454543238,0.0005737915835067986,0.0005777595450371298
0.21875,3.447080699516745,0.0012559730137276328,0.0005728733781439797,0.0005700608551219863
0.234375,3.480564687924159,0.00137106075542318,0.0005737215320528568,0.0005632689934366242
0.25,3.515252749450605,0.0014975492695333947,0.0005760744093965222,0.000557296815255145
0.265625,3.550624571840233,0.0016346128530654502,0.0005796744333725998,0.0005520732599509662
0.28125,3.586127230035504,0.0017812195272404185,0.0005843167702004896,0.0005475211863832404
0.296875,3.6212007469300254,0.0019363151041274524,0.0005898500878548314,0.0005435625310581737
0.3125,3.655406619120364,0.0020968579953913,0.0005960373703022299,0.0005401449129950456
0.328125,3.6883617503893737,0.002261141070652657,0.0006027100474272753,0.0005372109577022027
0.34375,3.719814248817174,0.002425385728887303,0.0006096807128245181,0.0005347050950467461
0.359375,3.749364097841744,0.002587743723979754,0.0006167350113008336,0.0005325752856647492
0.375,3.776666765626026,0.00274372305433827,0.0006237595616379385,0.0005307815221742404
0.390625,3.8013671199208643,0.002888590807904538,0.0006306094400666068,0.0005292680002014866
0.40625,3.823327016060346,0.0030201210478579777,0.0006370560983012852,0.000528029334130026
0.421875,3.8422997239359002,0.003135339178235433,0.0006428464225900737,0.0005270253829106753
0.4375,3.8581295036619925,0.003232838694906072,0.0006478196355883649,0.0005262266624405765
0.453125,3.870569163403075,0.003312759618662928,0.000651818459688884,0.000525615321049517
0.46875,3.8795450554676094,0.0033721072620527433,0.0006547440441987674,0.0005251809012310057
0.484375,3.884982498171756,0.003409160253368804,0.0006565037049952257,0.0005249224491858122
0.5,3.886822066333529,0.0034211757016484887,0.0006570469812563325,0.0005248320923167388
0.515625,3.884982498171757,0.003409160253368804,0.0006565037049952257,0.0005249224491858122
0.53125,3.87954505546761,0.0033721072620527433,0.0006547440441987674,0.0005251809012310056
0.546875,3.870569163403075,0.0033127596186629275,0.0006518184596888839,0.0005256153210495169
0.5625,3.8581295036619925,0.0032328386949060715,0.0006478196355883648,0.0005262266624405765
0.578125,3.8422997239359002,0.003135339178235432,0.0006428464225900739,0.0005270253829106754
0.59375,3.823327016060346,0.0030201210478579777,0.0006370560983012852,0.0005280293341300259
0.609375,3.8013671199208634,0.0028885908079045374,0.0006306094400666068,0.0005292680002014866
0.625,3.776666765626026,0.00274372305433827,0.0006237595616379384,0.0005307815221742405
0.640625,3.749364097841744,0.002587743723979754,0.0006167350113008337,0.0005325752856647493
0.65625,3.719814248817173,0.0024253857288873033,0.0006096807128245181,0.0005347050950467461
0.671875,3.6883617503893737,0.0022611410706526564,0.0006027100474272753,0.0005372109577022028
0.6875,3.655406619120364,0.002096857995391299,0.0005960373703022301,0.0005401449129950454
0.703125,3.621200746930026,0.0019363151041274518,0.0005898500878548315,0.0005435625310581737
0.71875,3.5861272300355047,0.0017812195272404185,0.0005843167702004895,0.0005475211863832404
0.734375,3.5506245718402334,0.0016346128530654507,0.0005796744333725998,0.0005520732599509661
0.75,3.515252749450605,0.0014975492695333947,0.0005760744093965222,0.000557296815255145
0.765625,3.480564687924159,0.00137106075542318,0.0005737215320528567,0.0005632689934366242
0.78125,3.4470806995167442,0.0012559730137276328,0.0005728733781439796,0.0005700608551219863
0.796875,3.415370962808743,0.001153635045454324,0.0005737915835067986,0.0005777595450371298
0.8125,3.3860957386259516,0.0010644665567513347,0.0005767249574887206,0.0005864516943126333
0.828125,3.3599424995054106,0.000988714698718242,0.0005819572601077289,0.0005962390214944578
0.84375,3.3376743725865072,0.0009264551414522064,0.0005897270251237044,0.0006072520138470967
0.859375,3.320140419964716,0.00087753832443724,0.0006004233256930272,0.0006196217633585585
0.875,3.308400602811679,0.0008415166881663306,0.0006145172316847024,0.0006334837876766345
0.890625,3.303601447339398,0.0008186460035000944,0.00063245105357972,0.0006489935329295821
0.90625,3.3069950597487967,0.0008093388397279052,0.0006548344578319164,0.0006663155993816323
0.921875,3.319943240090382,0.0008145374902150062,0.000682373667210245,0.00068563364812035
0.9375,3.344124428482165,0.0008358123100816674,0.0007159305308062458,0.000707195147715468
0.953125,3.3813442403612557,0.00087550432262964,0.0007565687459802706,0.000731239778544428
0.96875,3.4336722977941223,0.00093742359895127,0.0008055935801404315,0.0007580749055581134
0.984375,3.5033681906545606,0.0010271195139001524,0.0008646695829117143,0.0007880786291102224
1.0,3.5927692513040075,0.0011537895681487458,0.0009360256162269482,0.0008216341062564986
