,U (c_0-s_0),U (c_0-s_1),U (c_0-s_2),U (c_0-s_3),U (c_0-s_4),U (c_1-s_0),U (c_1-s_1),U (c_1-s_2),U (c_1-s_3),U (c_1-s_4),U (c_2-s_0),U (c_2-s_1),U (c_2-s_2),U (c_2-s_3),U (c_2-s_4),U (c_0-s*_0),U (c_0-s*_1),U (c_0-s*_2),U (c_0-s*_3),U (c_0-s*_4),U (c_1-s*_0),U (c_1-s*_1),U (c_1-s*_2),U (c_1-s*_3),U (c_1-s*_4),U (c_2-s*_0),U (c_2-s*_1),U (c_2-s*_2),U (c_2-s*_3),U (c_2-s*_4),U (c_0-c_1),U (c_0-c_2),U (c_1-c_2)
0.0,0.05145750050408139,0.057685767062296896,0.06025654596435361,0.05916274812185589,0.050667364063855164,0.05143428384262276,0.05761938827344912,0.060179150167925397,0.059091328354674864,0.050647321833488385,0.05152373807155027,0.057823596346914,0.06041217457377122,0.05930869083199533,0.050728411502785564,0.04531458656459418,0.044784323915410915,0.04528458480457841,0.04354795575783252,0.045221674372423276,0.04535635620971022,0.04483019953842804,0.045335036333921934,0.04360405009393803,0.04527342806676127,0.04527281271253457,0.04473561866147226,0.04522813728307111,0.043482198247340426,0.04516308284559285,0.04385779349496327,0.04283456085579034,0.04287931330934237
0.015625,0.05192633257699396,0.05825022891350845,0.06125829953361407,0.05981763037181928,0.05126474834657077,0.052003446696879035,0.05804863471106364,0.06105631146699498,0.05979336380827432,0.051061206008978746,0.052003949505670284,0.05836898755488659,0.061351513602580766,0.059961424916737345,0.051288905697524534,0.04519199570824178,0.044741164828157605,0.045299289039368466,0.043587536397943355,0.04528317567561278,0.04531969220865058,0.04489913310461903,0.04537234190714163,0.04379670326785106,0.04537624248487831,0.04513215861809629,0.04469580517710486,0.045239139001238625,0.043522447485445814,0.045241249773180156,0.04399343182705276,0.042809295690157095,0.04298431307863215
0.03125,0.052775492325627366,0.0593308366342429,0.06323266785242651,0.06123214011036025,0.0524326026343827,0.05317600222591351,0.05878405700310893,0.06271351936373903,0.06126983883894509,0.05175944400515391,0.05290111452554349,0.05936857398736606,0.06320696688358332,0.061386925637585146,0.05231696652239964,0.04516061384817342,0.04486313756228532,0.04549521929708173,0.04410722598440676,0.045640951269302024,0.04556307498016009,0.04517150250670986,0.04556531595374669,0.044649726868330644,0.04576888848982122,0.04507453957008476,0.0448251623676927,0.045415399075605,0.04408881430040168,0.0456143964830935,0.044381175575625764,0.042797617422831565,0.043236232812412734
0.046875,0.054012416881150896,0.060901066081172475,0.06620353299216372,0.06348253325665967,0.0542366208585186,0.054980396050696295,0.059717107384021514,0.06517305018379094,0.06347387071582335,0.052789294718629934,0.0542353851425287,0.06076500142169471,0.06600164101286293,0.06361166195240942,0.05388580611255046,0.045211758155979456,0.045151376312045216,0.045874478277890325,0.045109016017349,0.04632429104350958,0.04609281420993487,0.04565665845962248,0.04591538398600398,0.0462160034877808,0.04649970828044797,0.045100464463930526,0.04513250963573521,0.04575283556849463,0.04517587767027845,0.046340260761370586,0.04500488958920614,0.04279689603786325,0.043635331300635745
0.0625,0.055697196522382704,0.06297712064359193,0.07021603805008117,0.06657462820064369,0.056686892710528805,0.0574607951365665,0.060893720415806624,0.068537886507005,0.06643683505921744,0.05414736097503807,0.05605641242527421,0.06261010862021481,0.06973730419931445,0.06663616757028235,0.05599415442008703,0.04533318119762304,0.04559772825570178,0.046453433798703384,0.046638690493878386,0.04734141563315884,0.046905092910312834,0.046343914935578365,0.04643469728189463,0.04864642254679065,0.04758445492300673,0.04518723442127713,0.04560305237183368,0.046264050678857443,0.046812668150180245,0.047402411378957454,0.045881013510765845,0.04280663072469247,0.04417901465099863
0.078125,0.057843909257786,0.0655821309866653,0.07546022591444146,0.0705878978466781,0.05993817324364902,0.0606874977433784,0.06231100316671954,0.07286421581586454,0.07028576332692284,0.05581101731538034,0.0584001690814316,0.06488724447281664,0.07449606288052166,0.07052043417730378,0.05858285782220229,0.04552995123503476,0.04619116749433966,0.04722286022904669,0.048757065962400446,0.04867629893292158,0.048018062941371904,0.04724746028466524,0.04712933270035353,0.05209603356563067,0.049009947285825,0.04533940227841139,0.04620855587818113,0.04694125505223434,0.04905138726365586,0.04879244964979012,0.04702899807286394,0.04282607429392163,0.04486624807041982
0.09375,0.06052262459538613,0.0687703676335218,0.08191889037434488,0.07567756592176841,0.06380723288490686,0.06473113361657314,0.06393393848975645,0.07804187986800458,0.07498564493269097,0.057786362353223625,0.061267634382472784,0.06762725101889401,0.0803693354232401,0.07530104605312005,0.06179809718308474,0.045784549867607785,0.046937126341047755,0.048206404931343955,0.051541722378054974,0.05040537880044822,0.04946753753011647,0.04832254377783812,0.048016470118231354,0.056674411949468144,0.05078475914482039,0.04555584123433603,0.04696054494849357,0.04778754627726013,0.05195614855770997,0.05054630262774663,0.048458662214693804,0.042853686318809515,0.04569886908714109
0.109375,0.06366513504653401,0.07249795898059608,0.08967095292080923,0.08191842023785237,0.06837414387491711,0.06960990247736783,0.06576734165538477,0.08426846488540041,0.08075893415269057,0.060073814398671516,0.0647396573614671,0.07086006254629004,0.08729526429408518,0.0810542386230905,0.06547846395132374,0.04611393803536633,0.04785919058253647,0.049430958326063305,0.0551123447792716,0.05258117845148849,0.05121156680062558,0.04963818020881372,0.04910251005469238,0.06261670689186527,0.052995812115330054,0.045841232644764585,0.04787724576444573,0.04881192865422508,0.05566948543935353,0.052705332826896725,0.05021271518668638,0.04288961114581735,0.04666094715694737
0.125,0.06737488557866923,0.07679658805822646,0.0985453503189383,0.08918522219154651,0.0737773694561682,0.07552505340015939,0.06784797671791006,0.0914041054143471,0.08757016245857421,0.06265815289780681,0.06891263461974298,0.07468068101049269,0.09524579042681361,0.08778261870021492,0.0697418947881178,0.0465224636155715,0.04894620533718726,0.050900626923346154,0.05960181670889336,0.05525827052425088,0.05329027868581801,0.0511565500221092,0.05039747943311135,0.07000486289810023,0.05563906618461825,0.04618451677457737,0.04893634582640945,0.0500356073871831,0.06033222980249412,0.05533029938950959,0.05230117648712529,0.04293105426390543,0.04770137307471251
0.140625,0.07171770575099405,0.08165102487172683,0.10837856620152801,0.09755829289584034,0.07995659993278947,0.08262075658062856,0.0701581767636281,0.09931419401676916,0.09543133496939255,0.06560114489155656,0.07375877188380597,0.07891565333150893,0.10388231759778965,0.09532730382090762,0.07453665374684687,0.047008528484515644,0.05019482352032491,0.05261031381371842,0.06514974976051213,0.058446653319296625,0.05576884555697246,0.05287906344842343,0.051931180729364965,0.07900163759183144,0.05875952317978049,0.046593106095708395,0.05019823342537001,0.051467427175784425,0.06609236271569187,0.05847751348182802,0.05476480668784876,0.042978730370030555,0.04886931478358916
0.15625,0.07675339441431403,0.08723470354404961,0.11903627339129211,0.10677933501706606,0.08694300349832398,0.09088243434265687,0.07268083165500225,0.1078234469889296,0.10417549123538157,0.06882340644433418,0.0793668762572628,0.0835359726313768,0.11311183768953473,0.10369759316114682,0.0799074824257685,0.04756761189435742,0.051655451583972875,0.05458131636356919,0.07187364024953076,0.062206160063514024,0.05861365254235426,0.05473092076228031,0.05369165310933113,0.08927697219393399,0.062399754967968735,0.04707179058312974,0.05161145523304665,0.053086759196194946,0.07296087234541088,0.062205298425568226,0.05757906885613359,0.04302996844574151,0.050214092626017046
0.171875,0.08224826808161513,0.09325091731694973,0.12995713533078757,0.11658690621006942,0.09483373152282636,0.10032055868674049,0.07543651829012092,0.11706366844518218,0.11365675795863167,0.07235443216278616,0.08563601191500689,0.08854298180657227,0.12247927412993459,0.11288153490735933,0.08581383924800386,0.048179584567799,0.053241260621302224,0.05684578444065975,0.07974330751646024,0.06651747987803122,0.06183575853911348,0.056742816951210216,0.055696735406354,0.10107635927454077,0.06648028073905973,0.04762190531739444,0.053207336773004765,0.05493947912562409,0.08103466656091735,0.06658404592423073,0.060674539485565344,0.04308628014596366,0.05169206792195856
0.1875,0.08840020370328507,0.09971976890936425,0.1410130397176922,0.1271159889800318,0.1033429844174936,0.11080209291987024,0.07844856698358874,0.1267577872407611,0.12381494818118595,0.07606487364661105,0.09232158217646008,0.09394767281793394,0.13217842235755609,0.1229648677822528,0.09220371794149455,0.048862270074486056,0.05488168663580603,0.05939246325506438,0.08866803133645362,0.07140079444465636,0.06552649781926226,0.05898914069466549,0.05792899923546217,0.11425043366651277,0.07101374612226144,0.04823893470365502,0.05481206188147012,0.05705682977992943,0.09022384793085488,0.07158487013130971,0.06405933261231322,0.04314558156221908,0.053289294595847955
0.203125,0.09501571962778665,0.10650600387336541,0.15228943263082786,0.13851439381979536,0.11229070290411537,0.1222387846229083,0.08158364461994393,0.13667510954655276,0.1346466980620208,0.0800590791422492,0.09945105667444629,0.09965057384747739,0.14198882237267368,0.1338374452774349,0.09899487061434928,0.04962605452424228,0.05666850466367393,0.06212797977201136,0.0987371680368146,0.07687892255168535,0.06974698133323826,0.061391850774206724,0.06042109664654702,0.12844068540358447,0.07592130756384215,0.04892084886964973,0.05655880407799692,0.05937374730728669,0.10034200478610351,0.0770632000509135,0.0677155173830857,0.043207305460551584,0.05501005231514163
0.21875,0.10220343269817747,0.11368139646257502,0.16412842227251878,0.15055507461035583,0.12155583641071921,0.13435703455613138,0.08465775611221932,0.14656970271027184,0.14594458230833196,0.08414820655317652,0.10701000025409133,0.10583386229599442,0.15188171772022926,0.14535298632765867,0.10614887662051806,0.050464775510174406,0.05853154794540487,0.06515041552011776,0.11000739551161699,0.08262950014814378,0.07416727305187053,0.06393971668430515,0.06309826787553299,0.14352966833556002,0.08111351603129514,0.049615007408612896,0.058341533026678855,0.06187876013868639,0.11136431413513442,0.08288196399485359,0.07160771889823495,0.04326795715712428,0.05683977485468465
0.234375,0.10956596055416132,0.12112619313135786,0.1757093785838772,0.16271818862679627,0.13126859014725156,0.14713426778116112,0.08778174746626652,0.15679591602610357,0.15689151266688894,0.08855194110203848,0.11499006578002471,0.11208046202353061,0.1616179144927097,0.15723382916764422,0.11329309263331362,0.05136373213511635,0.06043631932119484,0.06835422850498535,0.1220466179962361,0.08871809680065781,0.07898355682593193,0.06671326259839712,0.06602757334990772,0.15937268050505357,0.08675036264889574,0.050364501081995645,0.06021402256918652,0.06444356518459653,0.12339628149778858,0.08920352888659039,0.07573833615428588,0.04333004005735549,0.05873313599966073
0.25,0.11677391031433093,0.12882831411208712,0.18694967786765224,0.1752714580619889,0.14137502268165333,0.1602667004283141,0.0909769239557803,0.16692406954728195,0.16757892766534827,0.09303411062896307,0.12331759393830866,0.11820110788839588,0.17145819294673867,0.16903142805104215,0.12067784004523885,0.05229708783766819,0.06233443840278745,0.07173302505402672,0.13466761767498894,0.09516695383657953,0.08410043772247736,0.06964657712084049,0.06913871699031167,0.17599424047715956,0.09287498354213722,0.05119096010859579,0.062160415962411716,0.06722667726223688,0.1360760601464432,0.09577907894253708,0.08008831163489807,0.04339138163896454,0.060797869645538065
0.265625,0.12403847957885211,0.13631900710722097,0.1980061271039336,0.1875759912168125,0.15169181549797378,0.17370220788568183,0.0941266513363746,0.17667456173439838,0.17799783925364182,0.09756653613168217,0.13180007564155521,0.12464048241601407,0.18160382601513647,0.1805806287599938,0.12822408636812993,0.05326585040378479,0.06426856408879801,0.07529606926087212,0.14781313759435008,0.1015404812455614,0.08965556940012531,0.07260756871012082,0.07248496146051041,0.1932981257940838,0.0992038307086624,0.05209117754799027,0.06414614606759224,0.07006587345534308,0.14953584807302128,0.1029165125349177,0.08463296725486985,0.043455774646955374,0.06307451235081135
0.28125,0.13137968653389395,0.14330755749705826,0.20866635048472995,0.19964669902149168,0.16203167685793796,0.187500941117202,0.09723019040960193,0.18624815143164514,0.1877111749489681,0.10223656916287023,0.14004452725811115,0.13101220223257454,0.19153475256385238,0.19205432290232402,0.13582551157667083,0.05423005260584739,0.06616100925384688,0.07901071079977237,0.16151309432705588,0.10801511791117177,0.09552982523145873,0.07560025581898665,0.0759174533061368,0.21105354201617987,0.10565316716798666,0.05306573735822837,0.06614491938327884,0.07298339785300695,0.1634876151938734,0.11042899004242934,0.08926760009104509,0.04352052853784382,0.06541440077367913
0.296875,0.13880982197788533,0.15004718991128163,0.21852604762453526,0.21177795634418162,0.17250338428834677,0.20135489283929076,0.10022088813757254,0.19578750599908695,0.19715919132871612,0.10710028918577483,0.14822468325764265,0.1371731537131845,0.20119743186814126,0.2033634072021411,0.14325633174393482,0.05520784465504877,0.06805280815735971,0.0827823411785862,0.17605961018717642,0.1147196134521855,0.1015799881812875,0.07875436005959635,0.0793325557640772,0.2290802216060816,0.11241267163608765,0.05412705896086258,0.06813196367279624,0.07589034743667504,0.17738475253359004,0.11817061291270503,0.09377259615127012,0.043588056680641654,0.06768888903818221
0.3125,0.1463690881493632,0.15629405581628747,0.22806053839396406,0.22343466965308711,0.18279653211287938,0.21487651570316307,0.10323974523512938,0.2053005462206704,0.2059224411725568,0.11196899385210418,0.15646761604814677,0.14303358140831918,0.2101620353610649,0.21400108234827894,0.1506001327984043,0.05621117657268111,0.07002622715649061,0.08650506096529445,0.19111274946664666,0.12180137688412614,0.10748966858147868,0.08194785842536287,0.08281307760847764,0.2473700703766747,0.11917907198615449,0.05524846170430847,0.07009634838660969,0.07871909787660383,0.19145866593936295,0.1260564046710665,0.09806886550690982,0.04365608907561816,0.06985818514831978
0.328125,0.1543369331673797,0.16200562675630187,0.23701982810676875,0.23449004182689226,0.1927302228031259,0.2282314895626359,0.10629884544821883,0.21397771482656724,0.21403216499032524,0.11660169712929976,0.16468270921077777,0.14880790156327106,0.21895982171257994,0.22336816855165606,0.15722464744415676,0.057220456078252456,0.07195584284004314,0.09023546897400002,0.20628069909454658,0.12904429232268658,0.11313882926863487,0.08479532424490352,0.08618354741238152,0.2651370103246882,0.12617103186004103,0.056443151575867545,0.07199632061994019,0.08135075234551907,0.20558856225738237,0.13390812943479385,0.10237141946221268,0.04372273267835358,0.07210891529129318
0.34375,0.1624149900824016,0.1673617703175515,0.24519670919612974,0.24469155975846363,0.2020811418670213,0.24042991096406324,0.10904830661430676,0.2213055939222623,0.22148011184781247,0.12090060112672175,0.1725637321698941,0.15445406690496621,0.22698459981731164,0.23220784890450108,0.16365787598287426,0.058238500616826366,0.0737385010869464,0.0937241294587178,0.22144161124335734,0.13622654929931638,0.11895376038645072,0.08765757451667815,0.08957353388496964,0.28235133454688544,0.13310113909109889,0.05768698709291243,0.07379286350878979,0.08384571587830883,0.2196516416286342,0.14178856856596045,0.10657980171657888,0.04379475689682418,0.07424842067770984
0.359375,0.16985665878800568,0.1723722772430571,0.2519842864454034,0.2537087314873229,0.21120219614422614,0.2513145368953947,0.11163319233438299,0.22806551913082546,0.22797944345806398,0.12503596352806065,0.1802614912911623,0.1596581719620188,0.23458078500688104,0.24033808504249396,0.16959720452206792,0.059250403540542965,0.07559754142440611,0.09684442514553628,0.2360847295424087,0.14319552450538764,0.12472420495356384,0.09028684531620637,0.09273045512001533,0.29856156057184147,0.13995254493839474,0.058752904944874576,0.07545121790885856,0.08616806600816589,0.2334577541173345,0.14951700204040236,0.11044112674313292,0.04386825347251175,0.07627250458344403
0.375,0.1763847759876435,0.17672550976481904,0.257953600208626,0.260906748613289,0.2199198451368572,0.26079861288119094,0.11355647942363123,0.23481961083394495,0.23364783286438973,0.12901822013241784,0.18727236667004568,0.16397474996056985,0.24090043381056095,0.24743176681617973,0.17526339521750262,0.05997916116102647,0.07752582598558738,0.09968887906967563,0.2500695514426398,0.14987767610206829,0.13040789162649238,0.09273531924503083,0.09585004892785445,0.3136474346948686,0.14655618637381934,0.05971257449465733,0.07702930398004278,0.08834627034482023,0.24686667767969173,0.15719349775739389,0.11408858376028247,0.04393420602540646,0.07799307690152729
0.390625,0.18249108289128066,0.18036795850828047,0.2626695173144403,0.2670699878345648,0.22786731291077839,0.26834235433108666,0.11481940768435381,0.24081695656529156,0.23807903962543198,0.13303947831118235,0.1935346259613723,0.1677316444118401,0.24660321060168908,0.25320370940805187,0.180550407234669,0.060653878705470385,0.07908447801326579,0.10209825823536083,0.2633238242827316,0.15626920908150205,0.13550477980218753,0.0950934505336973,0.09902343496095986,0.32702870693186753,0.15285328978840398,0.06061883583914743,0.07853903034794053,0.09028288021328831,0.25969374042567445,0.16450539056594504,0.11724046130378557,0.04399641582604866,0.0794928704908105
0.40625,0.1882182361776461,0.18328857381891378,0.2665989598775145,0.2716769287229307,0.23483532991093126,0.27381371501480706,0.11575029433359532,0.24623703837443425,0.24150899344105742,0.1371077353527884,0.19903924576756188,0.1708127966054708,0.25148824812243836,0.2577582642100853,0.18559984319135778,0.0612939983686448,0.0804446101983685,0.10413095723221646,0.27528428369745755,0.16202156034750406,0.14002117693762933,0.09718355052385075,0.101987035092401,0.339178330307059,0.15900219950217168,0.06143291166612942,0.07992983694683359,0.09212509611949657,0.2710231421854621,0.17100590436158714,0.12009536318339792,0.04405966368022375,0.08086465952153427
0.421875,0.1935758038456429,0.18556348496846525,0.2696335255167658,0.2743638238931353,0.2402081600777335,0.27817393530794354,0.11623740028449397,0.2509361110495166,0.2439005370192618,0.1408070636201825,0.2039948032989048,0.17336436734302857,0.2556483123215516,0.26091868980112287,0.18941368350013307,0.061844184289027396,0.0815415662426107,0.10557276533250358,0.2858646160702463,0.16730566390290288,0.14424862595934876,0.09913154452485257,0.10457318260436625,0.3498488398937944,0.16463886930658952,0.062015993420209775,0.08121518877013077,0.09381573613752452,0.28115825262571564,0.17689479957311488,0.12267716532421588,0.044115822058994836,0.08219405247954792
0.4375,0.19825545921704563,0.1871949672650453,0.271978733949651,0.27533020413690273,0.24400943459428537,0.2811776387434592,0.11664289420254886,0.25458540399817936,0.24514927322095137,0.14361713375270457,0.20801900263309833,0.17541289576795938,0.25882542057954916,0.26230024664343954,0.19251711185179193,0.062362480410355234,0.08257022327919598,0.1067262692917383,0.29521242947473353,0.17217928605831193,0.14799676465305137,0.10092239435284002,0.10705294187471694,0.3591903032189263,0.16997064654375144,0.06248154948506168,0.08215202770380253,0.09535938314359875,0.29065420843446343,0.18236944921851123,0.12494425924748453,0.04416279333436933,0.08329257619339633
0.453125,0.20223641436012246,0.18812010209349472,0.2732658722176221,0.27513798866744704,0.2473816297202001,0.2826352521722833,0.11692794668410891,0.25650702516654084,0.2454267085898053,0.14559227956098544,0.21100525410699297,0.17719414847740206,0.2610299152965183,0.2622682519861707,0.19445124685159432,0.06277985479477444,0.08326768661001796,0.10758060820275801,0.30322926917643994,0.17583258616990272,0.15103383910448184,0.10270877653954774,0.10911451587900983,0.36725703211006666,0.17498837993383415,0.06287322248444938,0.08283828909735973,0.09664002425648582,0.29900063652204295,0.18698966530389316,0.1264693603307821,0.04420321886802536,0.08429071977165527
0.46875,0.20475214834397334,0.18836236802621892,0.27268439080038986,0.2732676166464415,0.25069591146198456,0.2832909471851702,0.11706350940228069,0.25738843758754204,0.24497421390030233,0.14709983256452494,0.21258351075359616,0.17822964149969917,0.26194251494779713,0.2605568907775254,0.1954278717436538,0.06304189987822881,0.0837057766896399,0.10807201880243267,0.30969714971058016,0.17878532008000458,0.15341564259587898,0.10421946499939921,0.11075630461676719,0.37353648080595764,0.1798853454029335,0.06314434804042543,0.0830588814191326,0.09762733023424142,0.3057611507597621,0.1905605953309792,0.12769812396456792,0.044226153946248944,0.08495253633822064
0.484375,0.20612179004616965,0.18795865152679825,0.2711983186876915,0.27028122690722634,0.25315331189433604,0.2828965555363935,0.11668963596046542,0.2572032322432435,0.24314600051576957,0.14828936657780087,0.2132350921240258,0.1784022687451332,0.26212499216049706,0.25728764667375315,0.19594513324340365,0.0632899561159005,0.0836724364585654,0.10817200168545522,0.3146983274393622,0.1814658247840705,0.15524080419344957,0.10508965236122902,0.11201031240807688,0.37762281877053655,0.1841292446400302,0.06333436081978375,0.08321617921681641,0.0982634976509068,0.3106124459664512,0.1934491678499179,0.1284235386597116,0.04425158905663752,0.08519414336226386
